noc_title,exposed_to_disease_infections,median_hourly_wage,physical_proximity,pop,occupation_type
"7252 Steamfitters, pipefitters and sprinkler system installers",0.21,36,0.73,3695,Other
7253 Gas fitters,0.21,27,0.73,2865,Other
7522 Public works maintenance equipment operators and related workers,0.11,24,0.73,5335,Other
7244 Electrical power line and cable workers,0.1,35,0.7325,2295,Other
4031 Secondary school teachers,0.43,45.67,0.7375,150,Other
7513 Taxi and limousine drivers and chauffeurs,0.2075,14.35,0.745,22335,Other
7241 Electricians (except industrial and power system),0.11,35,0.7525,24060,Other
7242 Industrial electricians,0.11,29.75,0.7525,6620,Other
6322 Cooks,0.125,14,0.7575,59685,Sales & Service
"6742 Other service support occupations, n.e.c.",0.5325,14,0.7575,3875,Sales & Service
2224 Conservation and fishery officers,0.3125,34,0.7575,285,Other
2225 Landscape and horticulture technicians and specialists,0.085,21,0.7575,4210,Other
3414 Other assisting occupations in support of health services,0.5325,18,0.7575,9435,Other
4212 Social and community service workers,0.5325,22,0.7575,32020,Other
8612 Landscaping and grounds maintenance labourers,0.085,16,0.7575,32400,Other
6551 Customer services representatives - financial institutions,0.1425,17.79,0.7625,29725,Sales & Service
6211 Retail sales supervisors,0.24,17.31,0.765,14290,Sales & Service
"6331 Butchers, meat cutters and fishmongers - retail and wholesale",0.025,14,0.765,4085,Sales & Service
0621 Retail and wholesale trade managers,0.24,34.62,0.765,76815,Other
"9462 Industrial butchers and meat cutters, poultry preparers and related workers",0.025,16.3,0.765,3015,Other
0431 Commissioned police officers,0.5675,62.5,0.7675,320,Other
7514 Delivery and courier service drivers,0.1075,22,0.77,24050,Other
7291 Roofers and shinglers,0.0425,27,0.7725,6515,Other
0631 Restaurant and food service managers,0.095,19.67,0.7775,43470,Other
2275 Railway traffic controllers and marine traffic regulators,0.1825,38.48,0.78,345,Other
6611 Cashiers,0.1675,14,0.7825,93940,Sales & Service
5222 Film and video camera operators,0.075,27.18,0.79,595,Other
"5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",0.075,20,0.79,790,Other
"8232 Oil and gas well drillers, servicers, testers and related workers",0.1075,26.64,0.79,655,Other
"6711 Food counter attendants, kitchen helpers and related support occupations",0.0775,14,0.7925,139335,Sales & Service
3141 Audiologists and speech-language pathologists,0.52,42,0.7925,2415,Other
4215 Instructors of persons with disabilities,0.3575,26,0.795,1495,Other
"8615 Oil and gas drilling, servicing and related labourers",0.07,27,0.795,210,Other
6421 Retail salespersons,0.0525,14,0.7975,107520,Sales & Service
"1228 Employment insurance, immigration, border services and revenue officers",0.6275,30.62,0.7975,1255,Other
6321 Chefs,0.1475,17,0.805,24605,Sales & Service
4411 Home child care providers,0.5175,15,0.805,19425,Other
6523 Airline ticket and service agents,0.1225,17.53,0.81,4430,Sales & Service
"6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0.1225,19.92,0.81,875,Sales & Service
4422 Correctional service officers,0.715,32.64,0.8125,3070,Other
4413 Elementary and secondary school teacher assistants,0.4975,22,0.815,80,Other
"1511 Mail, postal and related workers",0.1725,23,0.82,11100,Other
2272 Air traffic controllers and related occupations,0.07,40.06,0.82,1075,Other
4021 College and other vocational instructors,0.33,32.05,0.8225,5785,Other
4214 Early childhood educators and assistants,0.5,18.46,0.83,44330,Other
4216 Other instructors,0.22,14.56,0.83,1440,Other
3231 Opticians,0.3975,28.85,0.8325,2815,Other
"6622 Store shelf stockers, clerks and order fillers",0.2,14,0.8375,48975,Sales & Service
"9465 Testers and graders, food and beverage processing",0.065,19.68,0.84,1425,Other
7531 Railway yard and track maintenance workers,0.1425,27.9,0.8475,1250,Other
3124 Allied primary health practitioners,0.87,50,0.8525,3255,Other
6316 Other services supervisors,0.2875,16,0.8675,3615,Sales & Service
"0651 Managers in customer and personal services, n.e.c.",0.2875,32.97,0.8675,4845,Other
7236 Ironworkers,0.1,37.24,0.8675,2370,Other
7243 Power system electricians,0.155,43,0.88,1095,Other
"7512 Bus drivers, subway operators and other transit operators",0.725,24,0.8825,29825,Other
3236 Massage therapists,0.35,25,0.8875,8860,Other
3215 Medical radiation technologists,0.9225,40,0.8925,5240,Other
3233 Licensed practical nurses,0.935,26.5,0.9,16400,Other
3213 Animal health technologists and veterinary technicians,0.6675,19,0.915,315,Other
"3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",0.975,38,0.9325,2570,Other
3012 Registered nurses and registered psychiatric nurses,0.95,35,0.94,82730,Other
3237 Other technical occupations in therapy and assessment,0.8625,20,0.95,4140,Other
6311 Food service supervisors,0.255,15,0.9525,12690,Sales & Service
3143 Occupational therapists,0.9175,43.08,0.9525,4280,Other
3144 Other professional occupations in therapy and assessment,0.9175,25,0.9525,3085,Other
3216 Medical sonographers,0.865,37,0.9525,2450,Other
4032 Elementary school and kindergarten teachers,0.435,38.46,0.9525,140,Other
6522 Pursers and flight attendants,0.77,19,0.955,5940,Sales & Service
3234 Paramedical occupations,0.8925,42,0.965,6595,Other
"3413 Nurse aides, orderlies and patient service associates",0.965,20,0.965,64220,Other
"3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",0.7375,25,0.97,890,Other
3411 Dental assistants,0.96,21.43,0.985,11480,Other
3142 Physiotherapists,0.67,40.51,0.9975,7235,Other
3222 Dental hygienists and dental therapists,1,37,0.9975,9650,Other
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
